Village,Copper - Sufficient,Copper - Deficient,Boron - Sufficient,Boron - Deficient,S - Sufficient,S - Deficient,Fe - Sufficient,Fe - Deficient,Zn - Sufficient,Zn - Deficient,Mn - Sufficient,Mn - Deficient
Pangarishikuppam,11,2,3,10,12,1,0,13,7,6,0,13
Bojanapuram,2,0,0,2,0,2,0,2,0,2,0,2
Nellorepettai,3,0,0,3,0,3,0,3,0,3,0,3
Rajakuppam,3,0,0,3,2,1,0,3,0,3,0,3
Erthangal,3,0,0,3,1,2,0,3,0,3,0,3
Jittapalli,3,0,0,3,0,3,0,3,0,3,0,3
Semballi,3,0,0,3,2,1,0,3,0,3,0,3
Agraharam,4,0,0,4,4,0,0,4,2,2,0,4
Moongapattu,16,0,7,9,13,3,0,16,12,4,0,16
Modikuppam,1,0,0,1,1,0,0,1,0,1,0,1
Sengundram,98,5,1,102,70,33,1,102,29,74,2,101
Kathari Kuppam,5,0,3,2,4,1,1,4,4,1,0,5
Chinnalapalli,26,3,5,24,27,2,3,26,15,14,0,29
Danakondapalli,102,13,18,97,57,58,3,112,62,53,1,114
Kallapadi,1,0,0,1,1,0,0,1,0,1,1,0
Varadhareddipalli,2,0,0,2,2,0,0,2,1,1,1,1
Puttavaripalli,3,0,1,2,3,0,0,3,2,1,3,0
Veerasettipalli (R.F),1,0,0,1,1,0,0,1,0,1,1,0
Rangasamudram,2,0,0,2,2,0,0,2,0,2,2,0
Thattimanapalli,3,0,2,1,3,0,0,3,2,1,2,1
Veerichettipalli,2,0,1,1,2,0,0,2,2,0,2,0
Paradarami,2,0,1,1,2,0,0,2,2,0,1,1
Dakshinapathapalayam,2,0,1,1,2,0,0,2,0,2,2,0
Viludonapaliam,3,0,0,3,3,0,0,3,1,2,2,1
Pinnanthurai,2,1,0,3,3,0,0,3,0,3,1,2
Serpadi,5,1,1,5,5,1,0,6,1,5,0,6
Puthur,2,0,0,2,0,2,0,2,1,1,0,2
Elavambadi,75,34,30,79,87,22,7,102,52,57,7,102
Varadalampattu,2,1,1,2,3,0,0,3,1,2,0,3
Genganallore,2,2,0,4,3,1,0,4,1,3,0,4
Anaikattu,2,3,1,4,4,1,0,5,1,4,1,4
Devichettikuppam,119,7,4,122,39,87,39,87,48,78,10,116
Mahammadupuram,5,1,1,5,6,0,0,6,0,6,0,6
Odiyathur,3,1,0,4,4,0,0,4,1,3,0,4
Appukal,2,0,0,2,2,0,0,2,0,2,0,2
